time,units,TAppmax[days],Std[days]
1991-12-31,°C,44.0,13.0
1992-12-31,°C,32.0,8.0
1993-12-31,°C,23.0,10.0
1994-12-31,°C,39.0,13.0
1995-12-31,°C,25.0,10.0
1996-12-31,°C,14.0,6.0
1997-12-31,°C,14.0,9.0
1998-12-31,°C,32.0,9.0
1999-12-31,°C,14.0,7.0
2000-12-31,°C,15.0,7.0
2001-12-31,°C,33.0,11.0
2002-12-31,°C,15.0,5.0
2003-12-31,°C,53.0,8.0
2004-12-31,°C,23.0,10.0
2005-12-31,°C,25.0,9.0
2006-12-31,°C,44.0,11.0
2007-12-31,°C,19.0,10.0
2008-12-31,°C,28.0,8.0
2009-12-31,°C,46.0,15.0
2010-12-31,°C,30.0,8.0
2011-12-31,°C,26.0,8.0
2012-12-31,°C,46.0,11.0
2013-12-31,°C,34.0,7.0
2014-12-31,°C,14.0,4.0
2015-12-31,°C,39.0,4.0
2016-12-31,°C,44.0,12.0
2017-12-31,°C,43.0,9.0
2018-12-31,°C,47.0,11.0
2019-12-31,°C,39.0,7.0
2020-12-31,°C,42.0,10.0
