time,Su[days],Std[days]
1991-01-01,56.0,32.0
1992-01-01,35.0,23.0
1993-01-01,38.0,25.0
1994-01-01,49.0,28.0
1995-01-01,38.0,25.0
1996-01-01,30.0,22.0
1997-01-01,49.0,38.0
1998-01-01,53.0,31.0
1999-01-01,43.0,33.0
2000-01-01,44.0,32.0
2001-01-01,48.0,30.0
2002-01-01,33.0,23.0
2003-01-01,81.0,39.0
2004-01-01,53.0,36.0
2005-01-01,53.0,32.0
2006-01-01,59.0,34.0
2007-01-01,43.0,31.0
2008-01-01,43.0,31.0
2009-01-01,61.0,40.0
2010-01-01,39.0,26.0
2011-01-01,59.0,43.0
2012-01-01,49.0,34.0
2013-01-01,48.0,31.0
2014-01-01,28.0,22.0
2015-01-01,46.0,25.0
2016-01-01,55.0,34.0
2017-01-01,63.0,35.0
2018-01-01,57.0,36.0
2019-01-01,59.0,35.0
2020-01-01,56.0,32.0
