time;units;TAppmax[days];Std[days]
31/12/1991;°C;6.0;9.0
31/12/1992;°C;6.0;9.0
31/12/1993;°C;3.0;4.0
31/12/1994;°C;7.0;9.0
31/12/1995;°C;3.0;4.0
31/12/1996;°C;0.0;1.0
31/12/1997;°C;1.0;2.0
31/12/1998;°C;7.0;8.0
31/12/1999;°C;1.0;3.0
31/12/2000;°C;2.0;3.0
31/12/2001;°C;5.0;6.0
31/12/2002;°C;4.0;4.0
31/12/2003;°C;22.0;18.0
31/12/2004;°C;4.0;3.0
31/12/2005;°C;6.0;6.0
31/12/2006;°C;10.0;11.0
31/12/2007;°C;2.0;3.0
31/12/2008;°C;3.0;5.0
31/12/2009;°C;5.0;7.0
31/12/2010;°C;5.0;6.0
31/12/2011;°C;5.0;5.0
31/12/2012;°C;5.0;5.0
31/12/2013;°C;6.0;5.0
31/12/2014;°C;2.0;3.0
31/12/2015;°C;16.0;13.0
31/12/2016;°C;5.0;7.0
31/12/2017;°C;13.0;11.0
31/12/2018;°C;8.0;8.0
31/12/2019;°C;12.0;9.0
31/12/2020;°C;10.0;10.0
