time,percentiles,WD[days],Std[days]
1991-12-31,75,26.0,6.0
1992-12-31,75,31.0,4.0
1993-12-31,75,28.0,3.0
1994-12-31,75,46.0,6.0
1995-12-31,75,33.0,6.0
1996-12-31,75,12.0,2.0
1997-12-31,75,51.0,6.0
1998-12-31,75,39.0,6.0
1999-12-31,75,28.0,4.0
2000-12-31,75,30.0,4.0
2001-12-31,75,41.0,6.0
2002-12-31,75,24.0,2.0
2003-12-31,75,52.0,7.0
2004-12-31,75,35.0,4.0
2005-12-31,75,25.0,4.0
2006-12-31,75,33.0,4.0
2007-12-31,75,44.0,9.0
2008-12-31,75,35.0,10.0
2009-12-31,75,32.0,8.0
2010-12-31,75,18.0,3.0
2011-12-31,75,56.0,6.0
2012-12-31,75,40.0,10.0
2013-12-31,75,27.0,3.0
2014-12-31,75,42.0,7.0
2015-12-31,75,52.0,10.0
2016-12-31,75,32.0,7.0
2017-12-31,75,59.0,7.0
2018-12-31,75,33.0,6.0
2019-12-31,75,40.0,11.0
2020-12-31,75,44.0,10.0
