time;percentiles;WD[days];Std[days]
31/12/1991;25;25.0;2.0
31/12/1992;25;24.0;5.0
31/12/1993;25;22.0;5.0
31/12/1994;25;33.0;4.0
31/12/1995;25;25.0;3.0
31/12/1996;25;10.0;2.0
31/12/1997;25;47.0;6.0
31/12/1998;25;41.0;4.0
31/12/1999;25;19.0;7.0
31/12/2000;25;25.0;4.0
31/12/2001;25;24.0;4.0
31/12/2002;25;15.0;2.0
31/12/2003;25;47.0;7.0
31/12/2004;25;23.0;4.0
31/12/2005;25;24.0;3.0
31/12/2006;25;31.0;3.0
31/12/2007;25;30.0;5.0
31/12/2008;25;21.0;3.0
31/12/2009;25;18.0;3.0
31/12/2010;25;8.0;2.0
31/12/2011;25;47.0;5.0
31/12/2012;25;29.0;3.0
31/12/2013;25;16.0;3.0
31/12/2014;25;23.0;3.0
31/12/2015;25;44.0;9.0
31/12/2016;25;22.0;3.0
31/12/2017;25;53.0;3.0
31/12/2018;25;28.0;4.0
31/12/2019;25;36.0;3.0
31/12/2020;25;52.0;7.0
