time;percentiles;WW[days];Std[days]
31/12/1991;75;12.0;2.0
31/12/1992;75;6.0;1.0
31/12/1993;75;4.0;2.0
31/12/1994;75;17.0;3.0
31/12/1995;75;16.0;5.0
31/12/1996;75;17.0;3.0
31/12/1997;75;9.0;3.0
31/12/1998;75;9.0;2.0
31/12/1999;75;8.0;2.0
31/12/2000;75;11.0;3.0
31/12/2001;75;20.0;3.0
31/12/2002;75;20.0;4.0
31/12/2003;75;17.0;4.0
31/12/2004;75;13.0;2.0
31/12/2005;75;6.0;2.0
31/12/2006;75;19.0;4.0
31/12/2007;75;13.0;4.0
31/12/2008;75;10.0;2.0
31/12/2009;75;7.0;2.0
31/12/2010;75;6.0;2.0
31/12/2011;75;13.0;3.0
31/12/2012;75;9.0;2.0
31/12/2013;75;12.0;2.0
31/12/2014;75;29.0;4.0
31/12/2015;75;14.0;3.0
31/12/2016;75;19.0;4.0
31/12/2017;75;13.0;2.0
31/12/2018;75;28.0;2.0
31/12/2019;75;25.0;3.0
31/12/2020;75;13.0;3.0
